iter	RMSE
0	177.5241783
1	173.2937054
2	168.9958326
3	165.0538437
4	161.5914556
5	158.1273604
6	154.6874499
7	151.2083445
8	147.6869937
9	144.668848
10	141.7446563
11	139.1847317
12	136.5479561
13	133.8680469
14	131.3694285
15	128.9554267
16	126.9080696
17	124.8618344
18	122.9280039
19	121.0411424
20	119.2745366
21	117.8545196
22	116.2315299
23	114.4100761
24	112.945574
25	111.5311499
26	110.3389467
27	109.0457496
28	107.8199283
29	106.8023646
30	105.8162944
31	104.7002147
32	103.6633737
33	102.7328522
34	102.0179094
35	101.131221
36	100.249137
37	99.613236
38	98.81633776
39	98.22713228
40	97.5524619
41	96.90134279
42	96.11853856
43	95.57237214
44	94.86009148
45	94.36523872
46	93.78435461
47	93.42328913
48	92.94917842
49	92.57661535
50	91.98027299
51	91.60343059
52	91.27261151
53	90.97804439
54	90.44815706
55	90.18743597
56	89.74259976
57	89.39431412
58	89.0499605
59	88.7515068
60	88.37798942
61	88.07863259
62	87.72753258
63	87.38076589
64	87.13128993
65	86.88106865
66	86.4166324
67	86.0594452
68	85.86541006
69	85.64472949
70	85.33077876
71	84.95490837
72	84.6413388
73	84.39029079
74	84.15647449
75	83.90143859
76	83.77256073
77	83.56815014
78	83.32539689
79	83.19955611
80	83.04667612
81	82.87282316
82	82.75707213
83	82.58545157
84	82.43888552
85	82.17950929
86	81.94880623
87	81.69341541
88	81.55634586
89	81.40679539
90	81.27526125
91	81.04865194
92	80.84722356
93	80.70661664
94	80.59926973
95	80.42554077
96	80.36353289
97	80.18289505
98	79.97483504
99	79.80213553
100	79.61190276
101	79.48728252
102	79.38292532
103	79.27287081
104	79.17521148
105	79.00753746
106	78.88099714
107	78.70142327
108	78.58034402
109	78.4552595
110	78.33759947
111	78.28341279
112	78.0511391
113	77.92352762
114	77.74711383
115	77.58758015
116	77.49756701
117	77.28449397
118	77.14438815
119	76.99702932
120	76.84142678
121	76.73229315
122	76.64166961
123	76.37626935
124	76.32596453
125	76.13886703
126	76.0733616
127	75.97509234
128	75.80169834
129	75.67203189
130	75.48028131
131	75.3874127
132	75.2361219
133	75.16679191
134	74.9862561
135	74.90055985
136	74.75259282
137	74.64021106
138	74.55426948
139	74.45215241
140	74.27601223
141	74.14954966
142	74.09590213
143	73.95866363
144	73.79416995
145	73.7416916
146	73.65620813
147	73.60874126
148	73.49182098
149	73.42214997
150	73.35485616
151	73.16678647
152	73.06475711
153	72.86404025
154	72.71841303
155	72.62092529
156	72.57083697
157	72.46161545
158	72.34656923
159	72.23063846
160	72.13104758
161	72.04509755
162	71.92662739
163	71.82274312
164	71.76227997
165	71.61644549
166	71.50371119
167	71.37855647
168	71.30823205
169	71.2106521
170	71.05281072
171	70.98621088
172	70.82025759
173	70.68944421
174	70.59674078
175	70.52719563
176	70.45096116
177	70.38910819
178	70.27835594
179	70.17581942
180	70.08502953
181	70.05338421
182	69.98828496
183	69.80297295
184	69.72813371
185	69.63490164
186	69.53213392
187	69.39792298
188	69.34528279
189	69.29786259
190	69.19977966
191	69.13943648
192	69.04244844
193	68.99525643
194	68.95379847
195	68.82595628
196	68.71412008
197	68.61501447
198	68.52556569
199	68.44129292
200	68.27994295
201	68.18894488
202	68.06762597
203	67.98691809
204	67.92411573
205	67.85431299
206	67.7504936
207	67.64447325
208	67.59308625
209	67.46740039
210	67.35475345
211	67.31074941
212	67.17883963
213	67.11545923
214	67.00706417
215	66.93228973
216	66.84446895
217	66.7183485
218	66.67219792
219	66.52624857
220	66.46523555
221	66.43022147
222	66.35848202
223	66.310363
224	66.18693283
225	66.10182118
226	66.00008705
227	65.83302347
228	65.73891457
229	65.68094576
230	65.56167444
231	65.51689769
232	65.39217165
233	65.24571395
234	65.07331754
235	65.02013202
236	64.98753724
237	64.83293701
238	64.73006371
239	64.64569854
240	64.50301692
241	64.45553288
242	64.40542446
243	64.31876043
244	64.28685743
245	64.18101456
246	64.1219946
247	64.05786813
248	63.92271908
249	63.79242394
250	63.68527388
251	63.62542024
252	63.55014758
253	63.47423362
254	63.38627241
255	63.27452649
256	63.22334059
257	63.07531469
258	63.01763104
259	62.92265683
260	62.77623629
261	62.65415421
262	62.5837667
263	62.48480095
264	62.35008324
265	62.21050006
266	62.06405554
267	61.9925285
268	61.8968216
269	61.75334533
270	61.678939
271	61.60791659
272	61.47845047
273	61.35139873
274	61.22261771
275	61.11008888
276	61.0261988
277	60.98523674
278	60.94049746
279	60.87177361
280	60.84113778
281	60.76214092
282	60.57789798
283	60.45838344
284	60.41314358
285	60.30175965
286	60.18920576
287	60.08326531
288	59.99344508
289	59.86552505
290	59.76204767
291	59.71851926
292	59.67848784
293	59.61084078
294	59.55356297
295	59.51389662
296	59.48520995
297	59.38980797
298	59.3078606
299	59.27014458
300	59.17915509
301	59.02766375
302	58.97770099
303	58.92696695
304	58.83042003
305	58.74508953
306	58.65881222
307	58.57477646
308	58.52893754
309	58.49174495
310	58.41829981
311	58.32250876
312	58.24193539
313	58.09880243
314	58.04057305
315	57.96913405
316	57.91309928
317	57.87216573
318	57.78623732
319	57.75228729
320	57.67504496
321	57.54315109
322	57.47431438
323	57.44937043
324	57.38470367
325	57.34353595
326	57.23563005
327	57.13480855
328	56.99949529
329	56.93979329
330	56.88371
331	56.79787771
332	56.72356872
333	56.64015493
334	56.58360936
335	56.49764463
336	56.4315668
337	56.30845514
338	56.26961045
339	56.23697861
340	56.16931496
341	56.10565848
342	56.08773258
343	56.04240429
344	55.9813131
345	55.9258627
346	55.85623129
347	55.74391665
348	55.67876067
349	55.61650717
350	55.57079631
351	55.51466754
352	55.47843829
353	55.41529985
354	55.3755912
355	55.32484558
356	55.2480485
357	55.14111547
358	55.08570284
359	55.03357918
360	54.98781404
361	54.92493747
362	54.873431
363	54.81984286
364	54.77858044
365	54.71918606
366	54.64878637
367	54.59654629
368	54.56664756
369	54.50751312
370	54.48676364
371	54.40193789
372	54.32222243
373	54.27659121
374	54.15889935
375	54.11214579
376	54.06712417
377	54.02125505
378	53.95298085
379	53.87322376
380	53.82063351
381	53.77764486
382	53.7368104
383	53.65878719
384	53.55528582
385	53.52859169
386	53.43494237
387	53.35772932
388	53.32974531
389	53.30353592
390	53.26001207
391	53.19583841
392	53.15516748
393	53.11657624
394	53.07178719
395	53.03481977
396	53.0030377
397	52.91539342
398	52.87462691
399	52.85744535
400	52.78291729
401	52.73351277
402	52.67309751
403	52.63266099
404	52.58416325
405	52.53843636
406	52.47769584
407	52.38172195
408	52.3620272
409	52.33807831
410	52.30329773
411	52.27984793
412	52.24073829
413	52.16402015
414	52.11871553
415	52.0829061
416	51.98761693
417	51.89191945
418	51.8022019
419	51.76886822
420	51.71179687
421	51.57610143
