,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
training,0.6594447962936556,71.43342473952166,11266.236791927387,0.014664927146036677,0.6594447962936556,492.13617559385784,0.10027071132117271
testing,0.6884159807464876,68.69545936732163,10544.568579707222,0.014068508177889698,0.6891328670733434,414.6517076687869,0.07210160746762995
