param_n_estimators,param_criterion,param_max_depth,mean_test_r2,mean_test_neg_mean_squared_error
200,squared_error,6,0.8364733034077233,-5365.328440792124
300,squared_error,6,0.8363086901813095,-5372.403657570042
400,squared_error,6,0.8361361071049769,-5378.053425406219
200,squared_error,8,0.8658306478939544,-4391.299509127933
300,squared_error,8,0.8656736408079805,-4398.71620920277
400,squared_error,8,0.86536691365545,-4407.966540085875
200,squared_error,10,0.8793663824451242,-3945.245846166269
300,squared_error,10,0.8789486936632895,-3959.614812670648
400,squared_error,10,0.8787908416900219,-3964.0665458009694
200,absolute_error,6,0.8507993381014483,-4888.639164143797
300,absolute_error,6,0.8515286026670476,-4862.265561860416
400,absolute_error,6,0.8511042145674054,-4876.264706369218
200,absolute_error,8,0.8698225239449273,-4262.75860172556
300,absolute_error,8,0.8698277399162981,-4260.740459116068
400,absolute_error,8,0.8698821362273961,-4258.797453278269
200,absolute_error,10,0.8779220957249994,-3996.6260254293143
300,absolute_error,10,0.8773685980246839,-4013.736720113291
400,absolute_error,10,0.8774278614101887,-4011.4038108786044
