iter	RMSE
0	177.8950533
1	174.2826762
2	170.9067702
3	167.283352
4	163.634749
5	160.3081751
6	156.9766069
7	154.0355318
8	150.7068141
9	147.6344379
10	144.6273093
11	141.5934439
12	138.6093174
13	135.8788649
14	133.0903588
15	130.4929147
16	127.846534
17	125.5085572
18	123.0109294
19	120.6490313
20	118.2641849
21	115.910442
22	113.6609989
23	111.4789598
24	109.4338344
25	107.3351842
26	105.4723701
27	103.5817202
28	101.6663836
29	99.62579273
30	97.69474253
31	95.85771949
32	94.07203135
33	92.24125004
34	90.64518784
35	88.94515637
36	87.13985032
37	85.51353392
38	83.87252987
39	82.37268002
40	80.95858066
41	79.57930118
42	78.14341799
43	76.6890734
44	75.29147213
45	73.89216357
46	72.58676915
47	71.27434275
48	69.97369772
49	68.71329872
50	67.62472626
51	66.52255219
52	65.40534141
53	64.34607501
54	63.33638955
55	62.33101266
56	61.31656042
57	60.41207866
58	59.48848995
59	58.61141838
60	57.69475389
61	56.83706765
62	55.93252137
63	55.06450553
64	54.26543168
65	53.41519544
66	52.66869899
67	51.86891626
68	51.04423812
69	50.41843991
70	49.65369291
71	48.91732232
72	48.23418432
73	47.53644913
74	46.89030951
75	46.20665466
76	45.65539084
77	45.08490908
78	44.52001818
79	43.97346902
80	43.36529305
81	42.77605253
82	42.25002468
83	41.74927014
84	41.23979637
85	40.81742483
86	40.33701914
87	39.84849114
88	39.41949142
89	38.9437481
90	38.45437743
91	38.03897176
92	37.63503473
93	37.23664804
94	36.79560821
95	36.40549054
96	36.01267836
97	35.65312799
98	35.26508926
99	34.85673742
100	34.4880832
101	34.11485813
102	33.75618985
103	33.37710989
104	33.05041719
105	32.74156717
106	32.4280394
107	32.14369897
108	31.85563641
109	31.58898275
110	31.30542571
111	31.00363464
112	30.74710577
113	30.48074325
114	30.19640989
115	29.92518061
116	29.63097228
117	29.36422158
118	29.17980408
119	28.96172116
120	28.73464283
121	28.47199165
122	28.22902991
123	27.99741084
124	27.79664225
125	27.56975564
126	27.35187616
127	27.13324192
128	26.89945538
129	26.71266651
130	26.50051786
131	26.28978655
132	26.11158764
133	25.97096604
134	25.79090659
135	25.58110302
136	25.3902335
137	25.23358378
138	25.05351691
139	24.88085904
140	24.75445952
141	24.57309237
142	24.44122291
143	24.27476778
144	24.13488418
145	23.99430197
146	23.86489482
147	23.71308561
148	23.58800528
149	23.46618747
150	23.3238712
151	23.1471753
152	23.00640585
153	22.85632516
154	22.74054146
155	22.6277578
156	22.53443472
157	22.40437545
158	22.25791584
159	22.15282517
160	22.03693309
161	21.89773106
162	21.81566458
163	21.70018581
164	21.61487588
165	21.50160408
166	21.41623953
167	21.29139856
168	21.17097467
169	21.05447442
170	20.95926484
171	20.88000779
172	20.78171676
173	20.67648325
174	20.56651831
175	20.44177684
176	20.33978993
177	20.26322039
178	20.18513102
179	20.09702904
180	20.00878373
181	19.90414524
182	19.80483363
183	19.71862471
184	19.62614939
185	19.52681397
186	19.42432766
187	19.32710725
188	19.25060509
189	19.17480075
190	19.08643822
191	19.00122258
192	18.9302799
193	18.83367359
194	18.76431304
195	18.71282615
196	18.59931426
197	18.5295134
198	18.44643319
199	18.37234223
200	18.30842064
201	18.25344482
202	18.18576056
203	18.10235056
204	18.04562446
205	17.98305128
206	17.8941409
207	17.84404381
208	17.79954309
209	17.73069075
210	17.66732382
211	17.57088916
212	17.477653
213	17.41817718
214	17.36022775
215	17.27072589
216	17.19150826
217	17.13710173
218	17.08096808
219	16.99851691
220	16.94746518
221	16.876606
222	16.79941839
223	16.71148568
224	16.6761433
225	16.63178703
226	16.55908532
227	16.51736669
228	16.47217464
229	16.42815218
230	16.38855505
231	16.33074975
232	16.25908425
233	16.20777966
234	16.16437328
235	16.11711692
236	16.05496349
237	16.00063797
238	15.94689896
239	15.89685612
240	15.83284383
241	15.78088604
242	15.72887626
243	15.66160066
244	15.61005092
245	15.56222878
246	15.52037262
247	15.48014204
248	15.40940684
249	15.37602363
250	15.32370975
251	15.26060922
252	15.21488413
253	15.16048741
254	15.11070098
255	15.0336302
256	14.9817873
257	14.93523588
258	14.90658559
259	14.8592241
260	14.8282333
261	14.79391768
262	14.76335556
263	14.72516958
264	14.68713196
265	14.6523225
266	14.62137223
267	14.59207233
268	14.55733184
269	14.51789613
270	14.48030895
271	14.4229933
272	14.39453265
273	14.35264695
274	14.31440606
275	14.28028267
276	14.21813624
277	14.18413366
278	14.15163778
279	14.1275138
280	14.08095046
281	14.05281662
282	13.99626389
283	13.95055335
284	13.88614221
285	13.85958544
286	13.82839064
287	13.79469413
288	13.74764976
289	13.72334168
290	13.66992965
291	13.61664863
292	13.59016983
293	13.55194467
294	13.52676541
295	13.49379046
296	13.43231297
297	13.36938068
298	13.3167782
299	13.29685793
300	13.2822198
301	13.22605785
302	13.20177431
303	13.16649746
304	13.12530788
305	13.0852393
306	13.06591458
307	13.03984415
308	13.02547355
309	12.9961414
310	12.96504495
311	12.90791722
312	12.8778522
313	12.84966762
314	12.8079637
315	12.77217845
316	12.74226939
317	12.72869728
318	12.6994827
319	12.66058278
320	12.62184266
321	12.61053712
322	12.57967191
323	12.54521226
324	12.52358309
325	12.4965549
326	12.48472506
327	12.44540699
328	12.41739931
329	12.37806634
330	12.35099725
331	12.31927409
332	12.27377841
333	12.24429111
334	12.20549627
335	12.16870254
336	12.12910006
337	12.11215797
338	12.0644934
339	12.03817241
340	12.00622472
341	11.9886663
342	11.94873857
343	11.89900478
344	11.86206458
345	11.85763989
346	11.83202302
347	11.78529952
348	11.74455563
349	11.70760354
350	11.6708807
351	11.64934314
352	11.60659119
353	11.59012682
354	11.57041002
355	11.550343
356	11.53776256
357	11.50911162
358	11.46214348
359	11.42317003
360	11.38465546
361	11.37560883
362	11.34659308
363	11.29488328
364	11.26033731
365	11.22106713
366	11.21080866
367	11.1952055
368	11.17036627
369	11.1453769
370	11.13405872
371	11.10164209
372	11.07562864
373	11.049388
374	11.02316819
375	11.00476976
376	10.97696597
377	10.94782103
378	10.93598269
379	10.90411253
380	10.8736643
381	10.85017144
382	10.82114984
383	10.81209684
384	10.78417528
385	10.74878214
386	10.72851863
387	10.69270747
388	10.66481025
389	10.62996393
390	10.60252192
391	10.57416804
392	10.5618977
393	10.53661954
394	10.48579242
395	10.46801405
396	10.44564678
397	10.40649996
398	10.39807286
399	10.37456658
400	10.36748894
401	10.34482336
402	10.33096671
403	10.30084445
404	10.29337745
405	10.28659344
406	10.25965033
407	10.25231708
408	10.23705371
409	10.21644181
410	10.18334461
411	10.13921652
412	10.1185534
413	10.09357077
414	10.07492751
415	10.03867197
416	10.0155198
417	9.980301986
418	9.958560194
419	9.933502492
420	9.907554777
421	9.885799414
422	9.878019636
423	9.831537691
424	9.796428997
425	9.787412999
426	9.756355072
427	9.743989505
428	9.73522011
429	9.704177548
430	9.682591638
431	9.665936202
432	9.643449347
433	9.625025657
434	9.582703308
435	9.566028826
436	9.541441763
437	9.509175432
438	9.485806441
439	9.447113191
440	9.435380954
441	9.387607438
442	9.375791615
443	9.3575199
444	9.338226898
445	9.307034524
446	9.297529773
447	9.281520829
448	9.257062344
449	9.250079837
450	9.232338365
451	9.20812758
452	9.190879587
