param_n_estimators,param_criterion,param_max_depth,mean_test_r2,mean_test_neg_mean_squared_error
200,squared_error,6,0.9072998989611559,-3029.8601594460615
300,squared_error,6,0.9073260957670358,-3027.720334613526
400,squared_error,6,0.9071342673852175,-3034.751958220258
200,squared_error,8,0.9175265293415764,-2691.611491728313
300,squared_error,8,0.9180321357997133,-2675.06883411905
400,squared_error,8,0.9180821524423818,-2673.714548508615
200,squared_error,10,0.9208217692204593,-2584.350592990852
300,squared_error,10,0.921098069424589,-2575.029928383509
400,squared_error,10,0.9210792410995076,-2575.636102005348
200,absolute_error,6,0.9022261299334614,-3211.903219028611
300,absolute_error,6,0.9025774449707165,-3200.338639728817
400,absolute_error,6,0.9022428331193852,-3210.6639832998176
200,absolute_error,8,0.9199618144895828,-2622.705969092459
300,absolute_error,8,0.9200287227093265,-2621.163268649575
400,absolute_error,8,0.9199824497212834,-2622.4476282256533
200,absolute_error,10,0.925004795227039,-2457.9942912327097
300,absolute_error,10,0.9251734047789665,-2452.473332383047
400,absolute_error,10,0.9252220257082179,-2451.069107550099
