iter	Passed	Remaining
404	8518	12514
405	8538	12492
406	8557	12468
407	8577	12446
408	8598	12424
409	8617	12401
410	8637	12377
411	8657	12355
412	8676	12332
413	8696	12309
414	8716	12287
415	8736	12264
416	8756	12242
417	8776	12219
418	8796	12197
419	8816	12174
420	8835	12151
421	8854	12128
422	8874	12105
423	8894	12083
424	8915	12061
425	8934	12038
426	8955	12016
427	8974	11994
428	9002	11982
429	9023	11960
430	9043	11939
431	9065	11919
432	9085	11897
433	9105	11875
434	9125	11852
435	9146	11831
436	9166	11809
437	9186	11786
438	9205	11763
439	9225	11741
440	9245	11719
441	9264	11696
442	9283	11673
443	9303	11650
444	9323	11628
445	9344	11607
446	9365	11586
447	9386	11565
448	9406	11543
449	9426	11521
450	9446	11499
451	9466	11476
452	9487	11455
453	9507	11434
454	9529	11414
455	9549	11392
456	9570	11371
457	9590	11349
458	9611	11328
459	9631	11307
460	9651	11284
461	9670	11261
462	9690	11239
463	9709	11216
464	9729	11193
465	9749	11172
466	9771	11152
467	9793	11132
468	9816	11114
469	9838	11094
470	9859	11073
471	9879	11052
472	9900	11030
473	9920	11008
474	9940	10987
475	9961	10965
476	9981	10944
477	10001	10922
478	10022	10901
479	10042	10878
480	10061	10856
481	10081	10834
482	10101	10812
483	10121	10790
484	10141	10768
485	10160	10745
486	10180	10724
487	10200	10702
488	10220	10680
489	10240	10658
490	10260	10636
491	10280	10614
492	10299	10592
493	10319	10570
494	10339	10548
495	10360	10527
496	10379	10505
497	10399	10483
498	10456	10498
499	10517	10517
500	10541	10499
501	10563	10479
502	10584	10458
503	10605	10437
504	10626	10415
505	10646	10394
506	10667	10373
507	10687	10350
508	10707	10328
509	10727	10306
510	10747	10284
511	10767	10263
512	10787	10241
513	10807	10219
514	10827	10196
515	10847	10174
516	10867	10152
517	10887	10130
518	10907	10108
519	10927	10086
520	10946	10064
521	10967	10043
522	10987	10021
523	11007	9999
524	11028	9978
525	11048	9956
526	11068	9934
527	11087	9911
528	11115	9896
