,0,1,2,3,4,6,7
performance_metrics,R2,MAE,MSE,RMSE,MAPE,maxE,minE
training,0.74418883,58.95625802,8489.102275,92.1363244,0.012073812,479.6684121,0.001653144
testing,0.760648674,59.03716462,8047.428065,89.70745824,0.012061561,386.0411319,0.162164764
