,0,1,2,3,4,5
performance_metrics,R2,MAE,MSE,MAPE,maxE,minE
training,0.9707022018430292,22.495721808852252,972.2484163949733,0.00470163244457919,226.80574970005,0.016594940326285723
testing,0.9350259082004571,30.742287910267713,2184.5474498914323,0.006408242308137198,371.728498046753,0.015231440024763288
