,param_hidden_layer_sizes,param_solver,mean_test_r2,mean_test_neg_mean_squared_error
0,"(50, 30, 10, 5)",adam,0.8294162837771364,-5591.9710678733945
1,"(50, 30, 10, 5)",adam,0.8615598864512684,-4577.054343181167
2,"(50, 30, 10, 5)",adam,-118.88699607157189,-4614238.7237768425
3,"(50, 30, 10, 5)",adam,0.7956517378687217,-6638.850258197966
4,"(100, 60, 20, 10)",adam,0.8219503742493831,-5824.744030098434
5,"(100, 60, 20, 10)",adam,0.831304367352194,-5515.012591418713
6,"(100, 60, 20, 10)",adam,0.7843097021424537,-7095.363108776631
7,"(100, 60, 20, 10)",adam,0.8252568466114077,-5707.830730243824
8,"(70, 40, 10)",adam,0.8141629991357447,-6153.540399008345
9,"(70, 40, 10)",adam,0.8019065741685927,-6457.710649487082
10,"(70, 40, 10)",adam,0.8270773486748675,-5603.942973486023
11,"(70, 40, 10)",adam,0.8019732053467393,-6538.003058286518
