,0,1,2,3,4,5,6,7
performance_metrics,R2,MAE,MSE,RMSE,MAPE,EV,maxE,minE
training,0.840077808,46.54499747,5307.023309,72.8493192,0.009571279,0.840077808,365.9193995,0.038488236
testing,0.789377788,51.61947663,7081.502839,84.15166569,0.010583516,0.792472631,563.0864269,0.199112278
