,0,1,2,3,4,5,6,7
performance_metrics,R2,MAE,MSE,RMSE,MAPE,EV,maxE,minE
training,0.9655319457589102,20.68105957912719,1143.8235382935193,0.004278386069262279,33.82046035011231,0.9655319457589102,310.04082629675213,0.017321937405540666
testing,0.9634432690246004,21.730176612767224,1229.1039584679213,35.05857895676779,0.004477826022325467,0.9640986731357735,297.31783476849614,0.06425583291638759
