,0
0,4650.403429163393
1,4648.966719568373
2,4645.501457011538
3,4648.269442199491
4,4649.420186218506
5,4649.8973823117885
6,4649.8973823117885
7,4649.99555458411
8,4649.420186218506
9,4647.792210020797
10,4646.989820611956
11,4640.249121052584
12,4645.82863159039
13,4644.041358200516
14,4645.478830191906
15,4640.58177260393
16,4641.653277304304
17,4640.454707896443
18,4647.093030734256
19,4644.961400674687
20,4643.949601015982
21,4643.949601015982
22,4643.403939308385
23,4644.011898941465
24,4643.949601015982
25,4643.00009928276
26,4643.029558541811
27,4643.029558541811
28,4643.029558541811
29,4644.041358200516
30,4644.398579471252
31,4641.653277304304
32,4643.995504641693
33,4643.624028652646
34,4639.248460617966
35,4650.562607798196
36,4653.620157123309
37,4653.695444980979
38,4653.965300531111
39,4650.978735341505
40,4653.154308903287
41,4651.516974135364
42,4653.154308903287
43,4651.159581585582
44,4652.8263836555
45,4654.456792432386
46,4662.338587598425
47,4654.275564353787
48,4654.9825659630405
49,4654.9825659630405
50,4660.108203613522
51,4657.597720874224
52,4655.522678528138
53,4654.451398998643
54,4654.420104266095
55,4653.411133594622
56,4645.597534807395
57,4639.034477510408
58,4642.123073768206
59,4640.839680684909
60,4644.467030533201
61,4654.825702803584
62,4655.00524901092
63,4647.9771726585
64,4651.904190291487
65,4654.103262025906
66,4645.359081487555
67,4637.007540684948
68,4637.8347079899595
69,4652.743196022333
70,4653.392313022492
71,4646.507370570335
72,4662.345972112272
73,4658.587511527063
74,4654.700007294689
75,4662.718831676233
76,4657.520486074826
77,4663.750254738593
78,4660.632855043283
79,4658.083990433176
80,4647.011754223582
81,4632.224478884008
82,4674.743423150101
83,4685.940151891103
84,4709.524093532302
85,4685.575205338359
86,4665.3665072427775
87,4648.377649676613
88,4649.830619930192
89,4648.069393156539
90,4647.42560612286
91,4646.746406340855
92,4651.628693599759
93,4655.253527145426
94,4652.245941325239
95,4655.593950082659
96,4664.096357045229
97,4650.591354091092
98,4651.647735329351
99,4651.096524333392
100,4650.311988129673
101,4651.096524333392
102,4652.312534429928
103,4650.562607798196
104,4651.185953389803
105,4651.375212754896
106,4651.548209742607
107,4655.2682271075755
108,4665.9989501213895
109,4674.241403214153
110,4674.498572889786
111,4673.805564873607
112,4674.241403214153
113,4648.069393156539
114,4650.984726045103
115,4650.966846435222
116,4650.17152206887
117,4654.693409339556
118,4648.913769756027
119,4654.27825707018
120,4606.071127787066
121,4601.946397553027
122,4591.2158623787445
123,4579.3840518298775
124,4612.940284751558
125,4593.648027533363
126,4625.911698726401
127,4629.129943561501
128,4651.582178183076
129,4655.020595978874
130,4653.164437823409
131,4614.148468063725
132,4670.866655048585
133,4594.197120067836
134,4750.161990102293
135,4744.1431971535385
136,4690.8700004446155
137,4610.03342740895
138,4736.991520501086
139,4771.452716840498
140,4731.971820764332
141,4758.274483791101
142,4740.020259573355
143,4666.049818400695
144,4594.3175646006375
145,4647.987797953255
146,4653.882450024982
147,4653.164437823409
148,4651.672254807537
149,4650.735207873024
150,4644.429755673159
151,4646.368486571613
152,4646.4244414416
153,4646.4244414416
154,4654.896586254856
155,4655.27505035794
156,4650.514405557577
157,4658.317113993264
158,4654.574430931653
159,4660.772837503957
160,4660.625303817649
161,4659.084676188537
162,4658.541829668974
163,4647.987797953255
164,4655.977425636267
165,4653.708897117067
166,4654.27825707018
167,4654.430562569906
168,4658.424438615757
169,4662.777244177197
170,4662.489147865587
171,4663.626101571018
172,4659.833008644085
173,4664.096357045229
174,4657.483576483779
175,4661.596441679636
176,4662.697938674402
177,4662.15509083603
178,4662.158930002548
179,4662.158930002548
180,4661.4470618614
181,4661.303969413078
182,4661.646359977321
183,4661.325411515492
184,4661.91668619802
185,4663.211093351212
186,4663.023339069548
187,4663.023339069548
188,4658.510262596826
189,4661.706975706282
190,4661.915694078479
191,4660.994036844328
192,4662.170583090374
193,4660.595164126041
194,4661.850712213726
195,4661.850712213726
196,4660.994036844328
197,4661.915694078479
198,4661.706975706282
199,4661.915694078479
200,4661.850712213726
201,4660.994765289194
202,4655.94180085736
203,4659.071899956192
204,4647.053565141334
205,4646.885083579307
206,4647.580917542485
207,4661.6060663527305
208,4654.3392270073355
209,4663.152030000918
210,4662.750129225373
211,4660.324325946351
212,4662.750129225373
213,4663.412910431613
214,4661.4011891808
215,4657.87134624816
216,4657.87134624816
217,4661.423315764997
218,4663.201488950673
219,4664.049902885605
220,4661.37274144379
221,4663.13127640931
222,4664.162465202297
223,4660.164039061953
224,4659.390408153227
225,4659.911762882393
226,4662.794427682111
227,4659.911762882393
228,4660.9955421465065
229,4665.7744574986145
230,4662.797149915835
231,4657.87134624816
232,4654.9825659630405
233,4657.239213714842
234,4657.532524895318
235,4658.769675014165
236,4657.532524895318
237,4651.360313572376
238,4651.740557650184
239,4651.360313572376
240,4660.686229515519
241,4647.067917171238
242,4676.027858464955
243,4681.709671505684
244,4690.637766728465
245,4696.063902063274
246,4674.527467565065
247,4665.970243357254
248,4667.771510903538
249,4665.066400897128
250,4665.895691195126
251,4666.931437984603
252,4668.173553827772
253,4664.3138200297535
254,4669.868460209408
255,4658.507059522187
256,4661.84053673617
257,4676.5635532812585
258,4668.544244567782
259,4664.381597745094
260,4663.239513658397
261,4662.917743834509
262,4669.550882423455
263,4685.082669690079
264,4683.674584074081
265,4678.510030515184
266,4677.605263301111
267,4679.6431316702465
268,4677.390261397022
269,4682.542449572061
270,4678.083269413201
271,4674.154954238109
272,4681.849441555882
273,4682.969210674043
274,4682.773086854772
275,4687.838141354688
276,4688.076077438484
277,4684.529892152896
278,4686.252097649276
279,4682.42659679568
280,4680.948401873458
281,4680.838882732601
282,4667.326786346131
283,4663.287616837246
284,4660.772837503957
285,4657.56189148613
286,4682.317639012467
287,4674.185250690489
288,4679.261506506161
289,4670.375100829414
290,4674.159789388448
291,4680.44862035712
292,4673.3467394699355
293,4677.07856509062
294,4678.773089731079
295,4683.0846607828535
296,4670.963101569822
297,4667.875243272755
298,4665.72786515809
299,4670.233354485777
300,4682.9401266466275
301,4686.671549263736
302,4673.969844007
303,4684.941383264663
304,4686.094307252763
305,4675.153055698333
306,4679.705199448024
307,4684.850969092869
308,4683.962900571917
309,4683.962900571917
310,4681.849441555882
311,4683.454581361539
312,4682.542449572061
313,4682.872822908644
314,4682.872822908644
315,4682.872822908644
316,4681.849441555882
317,4686.671549263736
318,4686.671549263736
319,4687.838141354688
320,4686.555006937238
321,4685.167324759358
322,4686.359946432466
323,4678.510030515184
324,4678.510030515184
325,4678.510030515184
326,4683.949885185245
327,4682.164974502839
328,4685.082669690079
329,4685.082669690079
330,4682.969210674043
331,4677.390261397022
332,4664.756550842324
333,4667.450217445202
334,4665.9989501213895
335,4674.1210978205645
336,4676.939232586358
337,4676.939232586358
338,4667.847644068638
339,4670.099562116346
340,4668.337251314573
341,4679.705199448024
342,4678.773089731079
343,4674.188001150076
344,4675.980847498431
345,4688.371789016062
346,4687.838141354688
347,4673.805564873607
348,4663.29269693174
