,0,1,2,3,4,5
performance_metrics,R2,MAE,MSE,MAPE,maxE,minE
training,0.8638546530918334,47.673596708795486,4517.987912327654,0.009897406759777147,476.59545581227576,0.13637362733879854
testing,0.8114853856720985,57.66961553165363,6338.205099777643,0.011943241946045458,338.10884990954855,0.23979376465558744
