,DEPTH,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,KLOGH,PHIF,SW,VSH,pp_bar,pp_psi
766,3218.8404,83.7469024,55.1058006,0.18659999,31.7672004,2.26320004,10.0500001,50.6776008,46.4650993,2.25859999,0.21719999,0.1384,0.37599998,321.77331728474275,4666.935839234452
767,3218.9928,81.4665985,47.3942985,0.18459999,33.2881011,2.26009988,10.0500001,57.6697006,51.4637985,10.5488004,0.2175,0.1307,0.30189999,321.6890017077268,4665.712942968527
768,3219.1452,81.0658035,45.3776016,0.18019999,35.6455001,2.26869988,9.48950004,60.1025009,54.4268989,14.4601001,0.21279999,0.1295,0.28249999,321.6303462163535,4664.8622154527475
769,3219.2976,81.2738037,43.6432991,0.17569999,38.0442008,2.27789998,8.90130043,62.3092002,57.2888984,18.6525993,0.2079,0.1287,0.26579999,321.59735081062286,4664.383656687111
770,3219.45,83.222702,41.9090003,0.1712,40.4430007,2.28699994,8.31299972,64.5159988,60.1510009,24.0606994,0.2029,0.12809999,0.24909999,321.5900154905349,4664.27726667162
771,3219.6024,85.6138,41.4117012,0.17339999,40.8777008,2.2716,8.11999988,59.5178985,58.3027,29.7714004,0.20909999,0.12669999,0.24429999,321.60834025608955,4664.543045406272
772,3219.7548,86.6389007,41.5183982,0.1789,40.3535003,2.24410009,8.11999988,51.0018005,54.1543006,36.0962982,0.22069999,0.1252,0.24539999,321.65232510728686,4665.180992891067
773,3219.9072,87.3572998,41.625,0.1844,39.8292007,2.21670007,8.11999988,42.4856986,50.0060005,43.7649993,0.23229999,0.1243,0.24639999,321.72197004412675,4666.191109126005
774,3220.0596,87.6227035,41.6864013,0.18999999,40.1096,2.19880008,8.11999988,38.8544006,48.6087989,50.441101,0.2407,0.1224,0.24699999,321.81727506660934,4667.573394111088
775,3220.212,87.214302,41.6772994,0.1957,41.6427001,2.19580006,8.11999988,42.8289985,51.4953002,53.7248001,0.244,0.11829999,0.2469,321.93824017473446,4669.3278478463135
776,3220.3644,87.7164001,41.6680984,0.20139999,43.1758995,2.1926999,8.11999988,46.8036003,54.3816986,57.2224006,0.2474,0.11439999,0.2468,322.08486536850234,4671.454470331684
777,3220.5168,87.7197036,41.7275009,0.20649999,44.532299,2.19029998,8.18480014,50.3064002,56.7854003,59.5793991,0.2502,0.1115,0.2474,322.25715064791285,4673.953261567199
778,3220.6692,87.2894973,42.3401985,0.2063,44.4622001,2.1933999,8.77309989,50.0015983,55.2918014,51.6458015,0.24909999,0.1132,0.25330001,322.455096012966,4676.824221552856
779,3220.8216,87.2045974,42.9528007,0.206,44.3921012,2.19639992,9.36139965,49.6968002,53.7983016,44.7686996,0.24789999,0.115,0.2592,322.6787014636617,4680.067350288657
780,3220.974,87.7164001,43.5654983,0.20579999,44.3219985,2.19950008,9.94960021,49.3919982,52.3047981,38.8073997,0.2468,0.1168,0.2651,322.927967,4683.6826477746
781,3221.1264,87.737503,43.5259017,0.20509999,44.3074989,2.2025001,10.0777997,48.4122009,51.3320999,38.1590003,0.24549999,0.11819999,0.26469999,323.2028926219811,4687.67011401069
782,3221.2788,88.0070037,43.3521995,0.20419999,44.3044013,2.20560002,10.1113004,47.2935981,50.4664001,38.5070991,0.2441,0.11959999,0.26300001,323.5034783296047,4692.029748996921
783,3221.4312,88.5158996,43.1783981,0.2034,44.3013992,2.20860004,10.1449003,46.1749992,49.6007995,38.8583984,0.24269999,0.12089999,0.26129999,323.8030362842178,4696.374477659038
784,3221.5836,88.0009002,43.3725013,0.20229999,44.4721984,2.21169996,10.1766996,45.3004989,48.9491996,36.3875999,0.2412,0.12219999,0.26320001,323.94143945390067,4698.381849551484
785,3221.736,87.3733978,43.8694,0.2011,44.7862014,2.21469998,10.2072,44.6268997,48.4737014,32.0404014,0.2397,0.1234,0.268,323.892,4697.6647895999995
786,3221.8884,86.8359985,44.3661994,0.1999,45.1001014,2.2177999,10.2377004,43.9533004,47.9981994,28.2124996,0.23819999,0.1246,0.27279999,323.65471792251594,4694.223297804587
787,3222.0408,86.5561981,44.7373008,0.1991,45.3202018,2.22000002,10.2566995,43.2486,47.4818992,25.6790008,0.2371,0.12569999,0.27630001,323.337474,4689.6220554012
788,3222.1932,86.1996002,44.764801,0.1993,45.2835998,2.22000002,10.2445001,42.4592018,46.854,25.5907001,0.2372,0.1263,0.2766,323.04814901100383,4685.425743625798
789,3222.3456,85.9307022,44.7921981,0.19959999,45.2471008,2.22000002,10.2323999,41.6697998,46.2261009,25.5027008,0.23729999,0.127,0.2768,322.78674295552736,4681.634362478378
790,3222.498,85.8399963,44.8195991,0.1999,45.2104988,2.22000002,10.2201995,40.8804016,45.5982017,25.4150009,0.23739999,0.12759999,0.27709999,322.55325583357063,4678.247911958942
791,3222.6504,85.9381027,45.1539001,0.19779999,45.7093009,2.22300004,10.3523998,41.0383987,45.4216003,22.966299,0.23549999,0.1287,0.28029999,322.3476876451337,4675.26639206749
792,3222.8028,86.5255966,45.4921989,0.1956,46.2153015,2.22609996,10.4864997,41.2090988,45.2509002,20.7266006,0.2336,0.1298,0.2836,322.1700383902166,4672.689802804023
