param_n_estimators,param_criterion,param_max_depth,mean_test_r2,mean_test_neg_mean_squared_error
200,squared_error,6,0.8670507489614623,-4367.056828008735
300,squared_error,6,0.8678028331900643,-4344.009045548402
400,squared_error,6,0.8678497990785828,-4343.408389840019
200,squared_error,8,0.8923244548067037,-3536.1297153203604
300,squared_error,8,0.8931597280047882,-3509.4214481237227
400,squared_error,8,0.8930844964237247,-3513.317723701753
200,squared_error,10,0.8997536444335106,-3289.8648578075663
300,squared_error,10,0.9010398808411771,-3248.863211624689
400,squared_error,10,0.9014701924861412,-3235.5853894685847
200,absolute_error,6,0.8727253363980445,-4175.4082992630865
300,absolute_error,6,0.8739466566541999,-4134.268339910237
400,absolute_error,6,0.8732047848994702,-4159.353858397648
200,absolute_error,8,0.896783706700879,-3382.870897484394
300,absolute_error,8,0.8977572711452435,-3350.8938823215453
400,absolute_error,8,0.8973588445388495,-3364.5175612349294
200,absolute_error,10,0.9050729030671307,-3112.1246197190567
300,absolute_error,10,0.9060924065443174,-3078.625832095702
400,absolute_error,10,0.9059011162624288,-3085.798788114709
